URL,Device,LCP,INP,CLS,TTFB,Performance,SEO,Accessibility
https://vantive.io/blog/revenue-forecasting-guide,mobile,3642,343,0.151,860,32,89,96
https://vantive.io/blog/sales-pipeline-metrics,mobile,3331,212,0.257,672,31,83,91
https://vantive.io/blog/crm-data-hygiene,mobile,4556,279,0.132,488,39,100,87
https://vantive.io/blog/revenue-intelligence-explained,mobile,3734,355,0.135,626,47,96,91
https://vantive.io/blog/forecast-accuracy-benchmarks,mobile,4322,370,0.214,660,57,95,93
https://vantive.io/blog/pipeline-coverage-ratio,mobile,3208,297,0.164,506,50,99,81
https://vantive.io/blog/sales-velocity-formula,mobile,3905,262,0.264,587,41,83,92
https://vantive.io/blog/deal-scoring-models,mobile,4686,226,0.174,757,37,86,86
https://vantive.io/blog/revops-tech-stack,mobile,3572,280,0.123,887,39,98,88
https://vantive.io/blog/churn-prediction-signals,mobile,4578,232,0.244,807,56,84,95
https://vantive.io/blog/quota-attainment-analysis,mobile,4566,293,0.222,842,49,93,93
https://vantive.io/blog/conversation-intelligence,mobile,3417,235,0.143,856,49,84,90
https://vantive.io/blog/arr-vs-mrr,mobile,3863,271,0.219,558,58,95,75
https://vantive.io/blog/sales-capacity-planning,mobile,3606,221,0.172,524,45,87,84
https://vantive.io/blog/attribution-models-b2b,mobile,3209,358,0.145,529,36,85,83
https://vantive.io/compare/clearloop-alternative,mobile,3275,223,0.120,873,41,89,80
https://vantive.io/compare/pipelinehq-vs-vantive,mobile,4694,349,0.262,448,43,83,81
https://vantive.io/compare/revenue-intelligence-tools,mobile,3453,273,0.272,442,43,100,89
https://vantive.io/product/forecasting,mobile,1938,137,0.031,891,81,89,94
https://vantive.io/product/pipeline-analytics,mobile,2325,171,0.042,886,79,98,94
https://vantive.io/product/deal-intelligence,mobile,2016,162,0.030,722,93,89,93
https://vantive.io/pricing,mobile,1829,147,0.053,389,79,92,91
https://vantive.io/demo,mobile,2091,146,0.020,713,74,98,75
https://vantive.io/customers/northwind,mobile,2386,103,0.024,852,84,92,94
https://vantive.io/customers/acme-logistics,mobile,2286,113,0.012,478,91,93,84
https://vantive.io/glossary/pipeline-coverage,mobile,1914,104,0.033,622,78,87,81
https://vantive.io/glossary/sales-velocity,mobile,1845,115,0.056,724,93,83,80
https://vantive.io/glossary/net-revenue-retention,mobile,2032,150,0.050,462,78,85,88
