URL,Bot,Hits,Date
https://vantive.io/blog/revenue-forecasting-guide,Googlebot,49,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,Bingbot,37,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,GPTBot,1,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,PerplexityBot,6,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,ClaudeBot,2,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,Google-Extended,2,2026-04-01
https://vantive.io/blog/revenue-forecasting-guide,OAI-SearchBot,13,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,Googlebot,4,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,Bingbot,44,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,GPTBot,5,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,PerplexityBot,9,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,ClaudeBot,6,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,Google-Extended,8,2026-04-01
https://vantive.io/blog/sales-pipeline-metrics,OAI-SearchBot,7,2026-04-01
https://vantive.io/blog/crm-data-hygiene,Googlebot,48,2026-04-01
https://vantive.io/blog/crm-data-hygiene,Bingbot,25,2026-04-01
https://vantive.io/blog/crm-data-hygiene,GPTBot,2,2026-04-01
https://vantive.io/blog/crm-data-hygiene,PerplexityBot,4,2026-04-01
https://vantive.io/blog/crm-data-hygiene,ClaudeBot,2,2026-04-01
https://vantive.io/blog/crm-data-hygiene,Google-Extended,13,2026-04-01
https://vantive.io/blog/crm-data-hygiene,OAI-SearchBot,12,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,Googlebot,28,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,Bingbot,55,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,GPTBot,6,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,PerplexityBot,10,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,ClaudeBot,2,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,Google-Extended,6,2026-04-01
https://vantive.io/blog/revenue-intelligence-explained,OAI-SearchBot,4,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,Googlebot,32,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,Bingbot,55,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,GPTBot,5,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,PerplexityBot,6,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,ClaudeBot,6,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,Google-Extended,13,2026-04-01
https://vantive.io/blog/forecast-accuracy-benchmarks,OAI-SearchBot,7,2026-04-01
https://vantive.io/blog/pipeline-coverage-ratio,Googlebot,42,2026-04-01
https://vantive.io/blog/pipeline-coverage-ratio,Bingbot,19,2026-04-01
