Date,Prompt,Cluster,Engine,Brand cited,Brand position,Sentiment,Cited URLs,Competitors cited,Monthly prompt volume,Buying stage
2026-04-15,best revenue intelligence software,revenue intelligence,ChatGPT,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,"pipelinehq.com, clearloop.com, revsignal.io",4800,evaluation
2026-04-15,best revenue intelligence software,revenue intelligence,Perplexity,yes,4,positive,https://vantive.io/blog/revenue-intelligence-explained,pipelinehq.com,4800,evaluation
2026-04-15,best revenue intelligence software,revenue intelligence,Gemini,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,"pipelinehq.com, revsignal.io",4800,evaluation
2026-04-15,best revenue intelligence software,revenue intelligence,Copilot,no,,,,"clearloop.com, pipelinehq.com",4800,evaluation
2026-04-15,revenue intelligence platform comparison,revenue intelligence,ChatGPT,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,revsignal.io,1900,evaluation
2026-04-15,revenue intelligence platform comparison,revenue intelligence,Perplexity,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,pipelinehq.com,1900,evaluation
2026-04-15,revenue intelligence platform comparison,revenue intelligence,Gemini,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,"clearloop.com, revsignal.io, pipelinehq.com",1900,evaluation
2026-04-15,revenue intelligence platform comparison,revenue intelligence,Copilot,no,,,,pipelinehq.com,1900,evaluation
2026-04-15,what is revenue intelligence,revenue intelligence,ChatGPT,yes,1,positive,https://vantive.io/blog/revenue-intelligence-explained,"revsignal.io, pipelinehq.com, clearloop.com",3600,awareness
2026-04-15,what is revenue intelligence,revenue intelligence,Perplexity,yes,4,neutral,https://vantive.io/blog/revenue-intelligence-explained,clearloop.com,3600,awareness
2026-04-15,what is revenue intelligence,revenue intelligence,Gemini,no,,,,clearloop.com,3600,awareness
2026-04-15,what is revenue intelligence,revenue intelligence,Copilot,yes,2,neutral,https://vantive.io/blog/revenue-intelligence-explained,revsignal.io,3600,awareness
2026-04-15,how do I improve forecast accuracy,forecasting,ChatGPT,yes,2,neutral,https://vantive.io/blog/revenue-intelligence-explained,revsignal.io,2900,consideration
2026-04-15,how do I improve forecast accuracy,forecasting,Perplexity,no,,,,pipelinehq.com,2900,consideration
2026-04-15,how do I improve forecast accuracy,forecasting,Gemini,no,,,,clearloop.com,2900,consideration
2026-04-15,how do I improve forecast accuracy,forecasting,Copilot,no,,,,"pipelinehq.com, revsignal.io",2900,consideration
2026-04-15,best sales forecasting software,forecasting,ChatGPT,no,,,,"revsignal.io, pipelinehq.com",5200,evaluation
2026-04-15,best sales forecasting software,forecasting,Perplexity,yes,3,neutral,https://vantive.io/blog/revenue-intelligence-explained,revsignal.io,5200,evaluation
2026-04-15,best sales forecasting software,forecasting,Gemini,no,,,,"clearloop.com, pipelinehq.com, revsignal.io",5200,evaluation
2026-04-15,best sales forecasting software,forecasting,Copilot,no,,,,pipelinehq.com,5200,evaluation
2026-04-15,how to build a revenue forecast,forecasting,ChatGPT,no,,,,revsignal.io,3300,awareness
2026-04-15,how to build a revenue forecast,forecasting,Perplexity,no,,,,revsignal.io,3300,awareness
2026-04-15,how to build a revenue forecast,forecasting,Gemini,no,,,,"revsignal.io, clearloop.com, pipelinehq.com",3300,awareness
2026-04-15,how to build a revenue forecast,forecasting,Copilot,yes,4,positive,https://vantive.io/blog/revenue-intelligence-explained,pipelinehq.com,3300,awareness
2026-04-15,what pipeline coverage ratio should I target,pipeline analytics,ChatGPT,yes,3,neutral,https://vantive.io/blog/revenue-intelligence-explained,"clearloop.com, pipelinehq.com, revsignal.io",1700,consideration
2026-04-15,what pipeline coverage ratio should I target,pipeline analytics,Perplexity,yes,1,positive,https://vantive.io/blog/revenue-intelligence-explained,"clearloop.com, revsignal.io",1700,consideration
2026-04-15,what pipeline coverage ratio should I target,pipeline analytics,Gemini,no,,,,"pipelinehq.com, clearloop.com, revsignal.io",1700,consideration
2026-04-15,what pipeline coverage ratio should I target,pipeline analytics,Copilot,yes,1,positive,https://vantive.io/blog/revenue-intelligence-explained,pipelinehq.com,1700,consideration
2026-04-15,how to measure sales velocity,pipeline analytics,ChatGPT,no,,,,"revsignal.io, pipelinehq.com, clearloop.com",2100,awareness
2026-04-15,how to measure sales velocity,pipeline analytics,Perplexity,yes,2,positive,https://vantive.io/blog/revenue-intelligence-explained,"clearloop.com, revsignal.io",2100,awareness
2026-04-15,how to measure sales velocity,pipeline analytics,Gemini,no,,,,pipelinehq.com,2100,awareness
2026-04-15,how to measure sales velocity,pipeline analytics,Copilot,no,,,,clearloop.com,2100,awareness
