Session default channel group,Date,Sessions,Total users,Key events,Total revenue
Organic Search,2025-10-01,13187,11340,217.6,0
Direct,2025-10-01,6646,5715,172.8,0
Paid Search,2025-10-01,4610,3964,96.8,0
Referral,2025-10-01,1575,1354,29.9,0
Organic Social,2025-10-01,1214,1044,9.7,0
Email,2025-10-01,1480,1272,45.9,0
chatgpt.com / referral,2025-10-01,124,106,4.2,0
perplexity.ai / referral,2025-10-01,64,55,2.2,0
gemini.google.com / referral,2025-10-01,33,28,1.1,0
Organic Search,2025-11-01,13446,11563,221.9,0
Direct,2025-11-01,6666,5732,173.3,0
Paid Search,2025-11-01,4009,3447,84.2,0
Referral,2025-11-01,1729,1486,32.9,0
Organic Social,2025-11-01,894,768,7.2,0
Email,2025-11-01,1587,1364,49.2,0
chatgpt.com / referral,2025-11-01,142,122,4.8,0
perplexity.ai / referral,2025-11-01,73,62,2.5,0
gemini.google.com / referral,2025-11-01,38,32,1.3,0
Organic Search,2025-12-01,14958,12863,246.8,0
Direct,2025-12-01,7066,6076,183.7,0
Paid Search,2025-12-01,3825,3289,80.3,0
Referral,2025-12-01,1584,1362,30.1,0
Organic Social,2025-12-01,1361,1170,10.9,0
Email,2025-12-01,1214,1044,37.6,0
chatgpt.com / referral,2025-12-01,153,131,5.2,0
perplexity.ai / referral,2025-12-01,79,67,2.7,0
gemini.google.com / referral,2025-12-01,41,35,1.4,0
Organic Search,2026-01-01,14439,12417,238.2,0
Direct,2026-01-01,7752,6666,201.6,0
Paid Search,2026-01-01,4279,3679,89.9,0
Referral,2026-01-01,1730,1487,32.9,0
Organic Social,2026-01-01,1137,977,9.1,0
Email,2026-01-01,1446,1243,44.8,0
chatgpt.com / referral,2026-01-01,185,159,6.3,0
perplexity.ai / referral,2026-01-01,95,81,3.2,0
gemini.google.com / referral,2026-01-01,49,42,1.7,0
Organic Search,2026-02-01,14800,12728,244.2,0
Direct,2026-02-01,6719,5778,174.7,0
Paid Search,2026-02-01,4448,3825,93.4,0
Referral,2026-02-01,1604,1379,30.5,0
Organic Social,2026-02-01,1072,921,8.6,0
Email,2026-02-01,1223,1051,37.9,0
chatgpt.com / referral,2026-02-01,153,131,5.2,0
perplexity.ai / referral,2026-02-01,79,67,2.7,0
gemini.google.com / referral,2026-02-01,41,35,1.4,0
Organic Search,2026-03-01,14135,12156,233.2,0
Direct,2026-03-01,6860,5899,178.4,0
Paid Search,2026-03-01,4432,3811,93.1,0
Referral,2026-03-01,1655,1423,31.4,0
Organic Social,2026-03-01,999,859,8.0,0
Email,2026-03-01,1305,1122,40.5,0
chatgpt.com / referral,2026-03-01,216,185,7.3,0
perplexity.ai / referral,2026-03-01,112,96,3.8,0
gemini.google.com / referral,2026-03-01,58,49,2.0,0
Organic Search,2026-04-01,15821,13606,261.0,0
Direct,2026-04-01,7372,6339,191.7,0
Paid Search,2026-04-01,4611,3965,96.8,0
Referral,2026-04-01,1691,1454,32.1,0
Organic Social,2026-04-01,1402,1205,11.2,0
Email,2026-04-01,1384,1190,42.9,0
chatgpt.com / referral,2026-04-01,229,196,7.8,0
perplexity.ai / referral,2026-04-01,118,101,4.0,0
gemini.google.com / referral,2026-04-01,61,52,2.1,0
Organic Search,2026-05-01,15626,13438,257.8,0
Direct,2026-05-01,8122,6984,211.2,0
Paid Search,2026-05-01,3887,3342,81.6,0
Referral,2026-05-01,1645,1414,31.3,0
Organic Social,2026-05-01,1328,1142,10.6,0
Email,2026-05-01,1687,1450,52.3,0
chatgpt.com / referral,2026-05-01,241,207,8.2,0
perplexity.ai / referral,2026-05-01,124,106,4.2,0
gemini.google.com / referral,2026-05-01,64,55,2.2,0
Organic Search,2026-06-01,16316,14031,269.2,0
Direct,2026-06-01,8695,7477,226.1,0
Paid Search,2026-06-01,4419,3800,92.8,0
Referral,2026-06-01,1891,1626,35.9,0
Organic Social,2026-06-01,1419,1220,11.4,0
Email,2026-06-01,1938,1666,60.1,0
chatgpt.com / referral,2026-06-01,260,223,8.8,0
perplexity.ai / referral,2026-06-01,135,116,4.6,0
gemini.google.com / referral,2026-06-01,69,59,2.3,0
Organic Search,2026-07-01,16071,13821,265.2,0
Direct,2026-07-01,7711,6631,200.5,0
Paid Search,2026-07-01,4102,3527,86.1,0
Referral,2026-07-01,1715,1474,32.6,0
Organic Social,2026-07-01,1032,887,8.3,0
Email,2026-07-01,1297,1115,40.2,0
chatgpt.com / referral,2026-07-01,255,219,8.7,0
perplexity.ai / referral,2026-07-01,132,113,4.5,0
gemini.google.com / referral,2026-07-01,68,58,2.3,0
Organic Search,2026-08-01,16513,14201,272.5,0
Direct,2026-08-01,7417,6378,192.8,0
Paid Search,2026-08-01,4566,3926,95.9,0
Referral,2026-08-01,1824,1568,34.7,0
Organic Social,2026-08-01,989,850,7.9,0
Email,2026-08-01,1170,1006,36.3,0
chatgpt.com / referral,2026-08-01,238,204,8.1,0
perplexity.ai / referral,2026-08-01,123,105,4.2,0
gemini.google.com / referral,2026-08-01,63,54,2.1,0
Organic Search,2026-09-01,16581,14259,273.6,0
Direct,2026-09-01,8177,7032,212.6,0
Paid Search,2026-09-01,4071,3501,85.5,0
Referral,2026-09-01,2008,1726,38.2,0
Organic Social,2026-09-01,969,833,7.8,0
Email,2026-09-01,1484,1276,46.0,0
chatgpt.com / referral,2026-09-01,264,227,9.0,0
perplexity.ai / referral,2026-09-01,136,116,4.6,0
gemini.google.com / referral,2026-09-01,70,60,2.4,0
