Original source,Date,Sessions,Contacts,MQLs,SQLs,Deals,Closed Won,Pipeline value,Closed won value,Avg deal size,Days to close
Organic Search,2025-10-01,6675,153.5,70.6,28.9,22.6,6.7,700166.0,160080.0,24000,75
Direct,2025-10-01,3918,90.1,41.4,17.0,13.3,3.9,410967.0,93960.0,24000,75
Paid Search,2025-10-01,2612,60.1,27.6,11.3,8.8,2.6,273978.0,62640.0,24000,75
Email,2025-10-01,1306,30.0,13.8,5.7,4.4,1.3,136989.0,31320.0,24000,75
Organic Search,2025-11-01,6249,143.8,66.1,27.1,21.2,6.3,655960.0,150144.0,24000,75
Direct,2025-11-01,3667,84.4,38.8,15.9,12.4,3.7,385020.0,88128.0,24000,75
Paid Search,2025-11-01,2445,56.2,25.9,10.6,8.3,2.4,256680.0,58752.0,24000,75
Email,2025-11-01,1222,28.1,12.9,5.3,4.1,1.2,128340.0,29376.0,24000,75
Organic Search,2025-12-01,6479,149.0,68.5,28.1,21.9,6.5,680202.0,155664.0,24000,75
Direct,2025-12-01,3802,87.5,40.2,16.5,12.9,3.8,399249.0,91368.0,24000,75
Paid Search,2025-12-01,2535,58.3,26.8,11.0,8.6,2.5,266166.0,60912.0,24000,75
Email,2025-12-01,1267,29.2,13.4,5.5,4.3,1.3,133083.0,30456.0,24000,75
Organic Search,2026-01-01,6704,154.2,70.9,29.1,22.7,6.7,703018.0,160080.0,24000,75
Direct,2026-01-01,3934,90.5,41.6,17.1,13.3,3.9,412641.0,93960.0,24000,75
Paid Search,2026-01-01,2623,60.3,27.8,11.4,8.9,2.6,275094.0,62640.0,24000,75
Email,2026-01-01,1311,30.2,13.9,5.7,4.4,1.3,137547.0,31320.0,24000,75
Organic Search,2026-02-01,6532,150.2,69.1,28.3,22.1,6.5,684480.0,156768.0,24000,75
Direct,2026-02-01,3834,88.2,40.6,16.6,13.0,3.8,401760.0,92016.0,24000,75
Paid Search,2026-02-01,2556,58.8,27.0,11.1,8.6,2.6,267840.0,61344.0,24000,75
Email,2026-02-01,1278,29.4,13.5,5.5,4.3,1.3,133920.0,30672.0,24000,75
Organic Search,2026-03-01,6785,156.0,71.8,29.4,23.0,6.8,711574.0,162288.0,24000,75
Direct,2026-03-01,3982,91.6,42.1,17.3,13.5,4.0,417663.0,95256.0,24000,75
Paid Search,2026-03-01,2655,61.1,28.1,11.5,9.0,2.6,278442.0,63504.0,24000,75
Email,2026-03-01,1327,30.5,14.0,5.8,4.5,1.3,139221.0,31752.0,24000,75
Organic Search,2026-04-01,6489,149.3,68.7,28.2,21.9,6.5,680202.0,155664.0,24000,75
Direct,2026-04-01,3808,87.6,40.3,16.5,12.9,3.8,399249.0,91368.0,24000,75
Paid Search,2026-04-01,2539,58.4,26.9,11.0,8.6,2.5,266166.0,60912.0,24000,75
Email,2026-04-01,1269,29.2,13.4,5.5,4.3,1.3,133083.0,30456.0,24000,75
Organic Search,2026-05-01,6026,138.6,63.8,26.1,20.4,6.0,631718.0,144624.0,24000,75
Direct,2026-05-01,3537,81.4,37.4,15.3,12.0,3.5,370791.0,84888.0,24000,75
Paid Search,2026-05-01,2358,54.2,24.9,10.2,8.0,2.4,247194.0,56592.0,24000,75
Email,2026-05-01,1179,27.1,12.5,5.1,4.0,1.2,123597.0,28296.0,24000,75
Organic Search,2026-06-01,6947,159.8,73.5,30.1,23.5,6.9,728686.0,166704.0,24000,75
Direct,2026-06-01,4078,93.8,43.1,17.7,13.8,4.1,427707.0,97848.0,24000,75
Paid Search,2026-06-01,2718,62.5,28.8,11.8,9.2,2.7,285138.0,65232.0,24000,75
Email,2026-06-01,1359,31.3,14.4,5.9,4.6,1.4,142569.0,32616.0,24000,75
Organic Search,2026-07-01,6457,148.5,68.3,28.0,21.9,6.4,677350.0,154560.0,24000,75
Direct,2026-07-01,3789,87.2,40.1,16.4,12.8,3.8,397575.0,90720.0,24000,75
Paid Search,2026-07-01,2526,58.1,26.7,11.0,8.5,2.5,265050.0,60480.0,24000,75
Email,2026-07-01,1263,29.1,13.4,5.5,4.3,1.3,132525.0,30240.0,24000,75
Organic Search,2026-08-01,6791,156.2,71.9,29.4,23.0,6.8,711574.0,162288.0,24000,75
Direct,2026-08-01,3986,91.7,42.2,17.3,13.5,4.0,417663.0,95256.0,24000,75
Paid Search,2026-08-01,2657,61.1,28.1,11.5,9.0,2.6,278442.0,63504.0,24000,75
Email,2026-08-01,1328,30.6,14.1,5.8,4.5,1.3,139221.0,31752.0,24000,75
Organic Search,2026-09-01,6134,141.1,64.9,26.6,20.8,6.1,644552.0,146832.0,24000,75
Direct,2026-09-01,3600,82.8,38.1,15.6,12.2,3.6,378324.0,86184.0,24000,75
Paid Search,2026-09-01,2400,55.2,25.4,10.4,8.1,2.4,252216.0,57456.0,24000,75
Email,2026-09-01,1200,27.6,12.7,5.2,4.1,1.2,126108.0,28728.0,24000,75
