Send date,Subject,Sends,Opens,Clicks,Open rate,Click rate,Subscribers
2025-10-07,Vantive Signal #41,8807,4070,532,46.2%,6.0%,8807
2025-10-21,Vantive Signal #42,8936,3725,546,41.7%,6.1%,8936
2025-11-07,Vantive Signal #43,9120,3801,372,41.7%,4.1%,9120
2025-11-21,Vantive Signal #44,9315,3254,376,34.9%,4.0%,9315
2025-12-07,Vantive Signal #45,9527,4412,332,46.3%,3.5%,9527
2025-12-21,Vantive Signal #46,9747,3839,464,39.4%,4.8%,9747
2026-01-07,Vantive Signal #47,9983,3861,503,38.7%,5.0%,9983
2026-01-21,Vantive Signal #48,10169,4075,342,40.1%,3.4%,10169
2026-02-07,Vantive Signal #49,10386,4239,586,40.8%,5.6%,10386
2026-02-21,Vantive Signal #50,10590,4139,559,39.1%,5.3%,10590
2026-03-07,Vantive Signal #51,10760,4473,411,41.6%,3.8%,10760
2026-03-21,Vantive Signal #52,10852,3869,312,35.7%,2.9%,10852
2026-04-07,Vantive Signal #53,11001,4134,297,37.6%,2.7%,11001
2026-04-21,Vantive Signal #54,11197,5134,640,45.9%,5.7%,11197
2026-05-07,Vantive Signal #55,11311,4361,544,38.6%,4.8%,11311
2026-05-21,Vantive Signal #56,11496,5063,639,44.0%,5.6%,11496
2026-06-07,Vantive Signal #57,11617,4098,565,35.3%,4.9%,11617
2026-06-21,Vantive Signal #58,11816,5402,662,45.7%,5.6%,11816
2026-07-07,Vantive Signal #59,12040,5470,457,45.4%,3.8%,12040
2026-07-21,Vantive Signal #60,12200,5436,685,44.6%,5.6%,12200
2026-08-07,Vantive Signal #61,12314,4708,485,38.2%,3.9%,12314
2026-08-21,Vantive Signal #62,12467,4655,633,37.3%,5.1%,12467
2026-09-07,Vantive Signal #63,12703,5428,543,42.7%,4.3%,12703
2026-09-21,Vantive Signal #64,12912,5062,593,39.2%,4.6%,12912
